"Est-ce que vous  voulez  participer à l’étude ?";"Fréquentez vous le restaurant universitaire ?";"Quel est votre sexe?";"Bénéficiez-vous d'une quelconque aide?";"De quelle aide s'agit-il?";"Quel est votre cycle d'étude??";"Année de cycle";"Quelle est votre filière?";"Pouvez-vous nous préciser la filière s'il vous plait?";"Residez-vous en cité universitaire?";"Suivez-vous un régime  alimentaire particulier?";"Veuillez nous précisez le regime dont il est question :";"A quelle fréquence fréquentez vous le  RU?";"Quel est votre niveau de satisfaction générale?";"Les prix des repas vous semblent-ils adaptés à votre budget?";"Qu'en est il de la qualité des repas ?";"Êtes-vous satisfait de la quantité servie?";"Quels sont les menus que vous avez pris dans la dernière semaine ?";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Haricot";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Riz sauce";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Riz gras";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Degué";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Yaourt";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Crudité";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Hambourger";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Gonré";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Soupe";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Gâteau";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Alloco";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Couscous";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Haricot vert";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Tô";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Spaguetti";"Quels sont les menus que vous avez pris dans la dernière semaine ?/Macoroni";"nbPlat";"Les plats servis sont-ils variés   ?";"Qu'en est il de l'hygiène au RU (locaux et matériels)  ?";"Comment trouvez-vous l'acceuil du personnel?";"Temps d'attente";"Rapport qualité/prix";"A combien estimez vous votre budget mensuel alloué au RU?";"Avez_vous des suggestions à faire pour améliorer le RU?";"Veuillez entrer vos suggestions :";"Pour quelles raisons vous ne prenez pas les services du RU ?";"Pour quelles raisons vous ne prenez pas les services du RU ?/Qualité médiocre des repas";"Pour quelles raisons vous ne prenez pas les services du RU ?/Prix trop élevés";"Pour quelles raisons vous ne prenez pas les services du RU ?/Files d’attente trop longues";"Pour quelles raisons vous ne prenez pas les services du RU ?/Horaires inadaptés";"Pour quelles raisons vous ne prenez pas les services du RU ?/Manque d'hygiène";"Pour quelles raisons vous ne prenez pas les services du RU ?/Préférence pour d’autres options (fast-food, repas maison…)";"Pour quelles raisons vous ne prenez pas les services du RU ?/Autres à préciser";"Veuillez préciser les raisons de votre non fréquentation du RU";"APPRECIATION DES SERVICES DU RESTAURANT UNIVERSITAIRE";"_uuid";"_index"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"non";"";"Master";"1ere";"Démographie";"";"non";"non";"";"Quelques fois par semaine";"satisfait";"oui";"Bonne";"Très satisfait";"Haricot Riz gras";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"Oui";"Pas bonne";"Pas bon";"20 à 40 mn";"Bon";"2600";"oui";"Améliorer l'hygiène";"";"";"";"";"";"";"";"";"";"";"68c3641e-56e5-4989-ae17-80722f94d5e3";"40"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"non";"";"Master";"1ere";"Démographie";"";"non";"non";"";"Tous les jours";"Pas du tout satisfait";"oui";"Pas bonne";"Peu satisfait";"Haricot Riz sauce Riz gras Degué";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"Oui";"Pas de tout bonne";"Pas de tout bon";"20 à 40 mn";"Bon";"5000";"oui";"Il faut revoir l'hygiène, le personnel du restaurant ne savent pas respecté les étudiantes, donc ils faut les initiés au respect, aussi il faut revoir l'attente est très long tu fini de manger pour prendre ta marque tu peux atteindre 20 minutes. Il faut revoir la qualité et quantités, on nous sert on dirait on ait venu pour demander";"";"";"";"";"";"";"";"";"";"";"de669456-dfe8-444b-b2be-fe03851ea6f9";"41"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"non";"";"Master";"1ere";"Démographie";"";"non";"non";"";"Quelques fois par semaine";"Peu satisfait";"oui";"Bonne";"Peu satisfait";"Riz sauce Riz gras Yaourt Spaguetti";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"Oui";"Bonne";"Bon";"20 à 40 mn";"Bon";"7000";"oui";"La propreté des RU, la qualité (surtout utiliser moins de cube magie),la quantité du repas servi ,les tickets physiques pour éviter les long rangs sont des points que je souligne comme amendements au personnel du RU.";"";"";"";"";"";"";"";"";"";"";"865e90d3-df41-412d-b87a-7825209d23be";"42"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"non";"";"Master";"1ere";"ISE";"";"non";"non";"";"Rarement";"Peu satisfait";"oui";"Pas bonne";"Peu satisfait";"Haricot Riz sauce Spaguetti Macoroni";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"4";"Oui";"Bonne";"Pas bon";"40 à 1h";"Bon";"2000";"non";"";"";"";"";"";"";"";"";"";"";"";"3a1e8462-8b27-44de-80fc-5c70582b799c";"43"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"2e";"LPAS";"";"non";"non";"";"Quelques fois par semaine";"Peu satisfait";"oui";"Pas bonne";"satisfait";"Riz sauce Riz gras Yaourt Macoroni";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"Oui";"Bonne";"Bon";"20 à 40 mn";"Pas bon";"4800";"oui";"La qualité des repas( bien cuisiner car la qualité est merdique souvent,) le long temps d'attente( Augmenter le nombre de site, attribué des mini Ru dans chaque UFR, pour résoudre ce problème ) , revoir le personnel";"";"";"";"";"";"";"";"";"";"";"e69483eb-dbf3-413a-9d51-29c6affc412e";"44"
"Oui, je  veux y participer";"Oui, je fréquente";"Féminin";"non";"";"Licence";"1ere";"Démographie";"";"non";"non";"";"Tous les jours";"Peu satisfait";"oui";"Bonne";"Très satisfait";"Riz sauce Riz gras Degué";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"Oui";"Pas de tout bonne";"Pas bon";"Moins de 20 mn";"Bon";"2000";"non";"";"";"";"";"";"";"";"";"";"";"";"a5e5f19a-cf1a-4ee4-b585-ecaf38ba0508";"45"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Foner";"Licence";"1ere";"Autres";"Licence en sciences de la population";"non";"non";"";"Quelques fois par semaine";"Pas du tout satisfait";"oui";"Pas bonne";"Très satisfait";"Riz sauce";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Oui";"Pas bonne";"Bon";"20 à 40 mn";"Pas bon";"5000";"oui";"l'amélioration de la qualité des plats";"";"";"";"";"";"";"";"";"";"";"f1ca1fc3-03b0-46de-8220-5f9b551cb96b";"46"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"non";"";"Licence";"1ere";"Autres";"Sciences de la population";"non";"non";"";"Quelques fois par semaine";"satisfait";"oui";"Bonne";"satisfait";"Haricot Riz sauce Degué Yaourt";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"Oui";"Bonne";"Bon";"Moins de 20 mn";"Bon";"2000";"non";"";"";"";"";"";"";"";"";"";"";"";"edb8ca15-6692-416c-82f3-10004aa260d2";"47"
"Oui, je  veux y participer";"Oui, je fréquente";"Féminin";"non";"";"Licence";"1ere";"Démographie";"";"non";"non";"";"Tous les jours";"satisfait";"oui";"Bonne";"Très satisfait";"Riz sauce Riz gras Degué";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"Oui";"Pas bonne";"Pas bon";"Moins de 20 mn";"Bon";"2000";"non";"";"";"";"";"";"";"";"";"";"";"";"73b598a3-bb4e-4bfb-b7d8-0497083162f4";"48"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"non";"";"Licence";"1ere";"Autres";"Sciences de la population";"non";"non";"";"Quelques fois par semaine";"satisfait";"oui";"Bonne";"satisfait";"Haricot Riz sauce Yaourt Crudité";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"Oui";"Bonne";"Bon";"Moins de 20 mn";"Bon";"2000";"non";"";"";"";"";"";"";"";"";"";"";"";"baf557c4-afe6-4b00-a42b-724abbe2945c";"49"
"Oui, je  veux y participer";"Oui, je fréquente";"Féminin";"oui";"Bourse";"Licence";"1ere";"Autres";"Sciences de la population";"non";"non";"";"Tous les jours";"Peu satisfait";"oui";"Pas bonne";"Très satisfait";"Riz sauce";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Oui";"Pas bonne";"Bon";"20 à 40 mn";"Pas bon";"3100";"oui";"Prendre le temps de bien cuisiner la nourriture, la plus part du temps les viandes sont pas cuites et il y'a de ces nourritures qui sont inmageables";"";"";"";"";"";"";"";"";"";"";"d073a8b7-8415-42f0-9c3e-089e50b45a56";"50"
"Oui, je  veux y participer";"Non, je ne fréquente pas!";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Files d’attente trop longues";"0";"0";"1";"0";"0";"0";"0";"";"";"a41b4eeb-8ca1-42c1-bce9-d7e78b5066b5";"51"
"Oui, je  veux y participer";"Non, je ne fréquente pas!";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Qualité médiocre des repas Files d’attente trop longues Manque d'hygiène";"1";"0";"1";"0";"1";"0";"0";"";"";"8b05c703-bd71-478e-8aa0-85eea942b024";"52"
"Oui, je  veux y participer";"Non, je ne fréquente pas!";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Qualité médiocre des repas Files d’attente trop longues Manque d'hygiène";"1";"0";"1";"0";"1";"0";"0";"";"";"bc6ee368-71d5-40d7-a0f8-ce6242a04677";"53"
"Non, je ne veux pas y participer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73e6a398-f2ed-4af3-859c-340ad242d8d3";"54"
"Oui, je  veux y participer";"Non, je ne fréquente pas!";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Qualité médiocre des repas Files d’attente trop longues Manque d'hygiène";"1";"0";"1";"0";"1";"0";"0";"";"";"6364cbfb-74dc-4873-b181-32c84ee8b788";"55"
"Oui, je  veux y participer";"Non, je ne fréquente pas!";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Files d’attente trop longues Préférence pour d’autres options (fast-food, repas maison…)";"0";"0";"1";"0";"0";"1";"0";"";"";"f421719b-84c9-468b-b9c6-a7df697529d0";"56"
"Oui, je  veux y participer";"Oui, je fréquente";"Féminin";"non";"";"Licence";"1ere";"Autres";"sciences de la population";"non";"non";"";"Tous les jours";"Peu satisfait";"oui";"Pas de tout bonne";"satisfait";"Riz sauce";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Oui";"Bonne";"Pas bon";"40 à 1h";"Bon";"4000";"non";"";"";"";"";"";"";"";"";"";"";"";"3b6f16dc-fe36-4899-9d88-0ca5ed9a88f2";"57"
"Oui, je  veux y participer";"Oui, je fréquente";"Féminin";"non";"";"Licence";"1ere";"Démographie";"";"non";"non";"";"Quelques fois par semaine";"Peu satisfait";"oui";"Bonne";"satisfait";"Haricot Riz sauce";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"Oui";"Bonne";"Pas bon";"20 à 40 mn";"Bon";"2000";"non";"";"";"";"";"";"";"";"";"";"";"";"347e74dd-25b4-46ca-8a6a-58223e4826f4";"58"
"Oui, je  veux y participer";"Non, je ne fréquente pas!";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Files d’attente trop longues Horaires inadaptés Préférence pour d’autres options (fast-food, repas maison…)";"0";"0";"1";"1";"0";"1";"0";"";"";"601e581b-6c8a-4aea-ae57-0427cf100e49";"59"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"oui";"Bourse";"Licence";"3e";"LPAS";"";"non";"non";"";"Quelques fois par semaine";"Peu satisfait";"oui";"Bonne";"Peu satisfait";"Riz sauce";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Oui";"Bonne";"Bon";"20 à 40 mn";"Bon";"5000";"non";"";"";"";"";"";"";"";"";"";"";"";"b7a51741-8a68-4ba1-8d1c-4e1197a1d050";"60"
"Oui, je  veux y participer";"Non, je ne fréquente pas!";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Files d’attente trop longues Horaires inadaptés";"0";"0";"1";"1";"0";"0";"0";"";"";"e42ec6fe-2535-41a9-844e-a087cf7b22cf";"61"
"Oui, je  veux y participer";"Oui, je fréquente";"Masculin";"non";"";"Licence";"3e";"LPAS";"";"non";"oui";"Halal";"Tous les jours";"satisfait";"oui";"Bonne";"satisfait";"Riz sauce Riz gras Yaourt";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"Oui";"Bonne";"Bon";"Moins de 20 mn";"Bon";"5000";"non";"";"";"";"";"";"";"";"";"";"";"";"3c582dcf-1502-434a-a445-a6e9eea857f9";"62"
